"dates","Rt_times","Rt_medians","Rt_lowerbounds","Rt_upperbounds","Rt_mean","Rt_var","Rt_a","Rt_b"
2020-08-20,8,3.11024072489538,0.927283067908332,6.31813156322409,3.0914763331268,1.19465323978539,8,2.58776038951868
2020-08-21,9,3.53862764790511,1.70598079055374,6.02230942553006,3.39464077563224,0.82311328539893,14,4.12414771556869
2020-08-22,10,3.57994527453172,2.05806322150623,5.5319313201369,3.62974426835615,0.598865611530197,22,6.06103305728572
2020-08-23,11,3.47780343742519,2.25626645386695,5.02407251255932,3.41858804875948,0.389558141570706,30,8.7755528224251
2020-08-24,12,8.49284002448321,6.89602172751536,10.3173898229602,8.56447999612658,0.672938693615159,109,12.7269840141254
2020-08-25,13,9.6312394674271,8.21682808912296,11.1912049325277,9.58976933760677,0.528526873267259,174,18.1443363103271
2020-08-26,14,10.1300481491991,8.93381820779674,11.4333966846338,10.1441418912526,0.374194962581333,275,27.1092422550925
2020-08-27,15,7.8714728299706,7.05923970004062,8.75375742696155,7.90585088652119,0.17656067299409,354,44.7769639323125
2020-08-28,16,5.19802789363856,4.68899185255274,5.74257085574159,5.24112619093664,0.0693671811851566,396,75.5562803820282
2020-08-29,17,3.36402077605597,3.03991511972993,3.7113326742613,3.38517733852436,0.0279498185689241,410,121.116254482173
2020-08-30,18,2.31901626684673,2.09751188086663,2.55447639027569,2.34236585844792,0.01315750075497,417,178.02513578144
2020-08-31,19,1.46689633128471,1.31579855601327,1.62851504418728,1.48052138706643,0.00620947189110795,353,238.429517522506
2020-09-01,20,1.08038068061236,0.964216332488329,1.20535066819752,1.09553135112378,0.00372729484874252,322,293.92130099216
2020-09-02,21,0.757310289527617,0.667162765523568,0.855451234562509,0.765640921795446,0.00227211636096039,258,336.972584217395
2020-09-03,22,0.56861596558733,0.494505712507854,0.649524204701832,0.572710482566784,0.00158452800406705,207,361.439167434589
2020-09-04,23,0.692675971363363,0.610580059645303,0.782238909504942,0.691613394562632,0.00189062880449979,253,365.811307283882
2020-09-05,24,0.686304911845594,0.603055490491512,0.776235788680045,0.684648737907708,0.00194499541211045,241,352.005322811954
2020-09-06,25,0.706076643560917,0.618008776217215,0.800121874715619,0.703336372208687,0.00215079153248555,230,327.012805093146
2020-09-07,26,0.829521230045973,0.730431641218675,0.936914991961531,0.826484570059487,0.00274328009857998,249,301.276041949674
2020-09-08,27,0.874931266331285,0.769580420756036,0.989957923486447,0.874456868094817,0.00312112169044162,245,280.173910159551
2020-09-09,28,0.899985185916611,0.789695688210609,1.01855943545337,0.898800655517779,0.00339429671579491,238,264.797314664722
2020-09-10,29,0.88312174679225,0.772529908990013,1.00452919475106,0.881847356995385,0.00345624338239887,225,255.146197598886
2020-09-11,30,0.566781069786455,0.478053591615863,0.665318817709155,0.568877671501859,0.00227902679671392,142,249.614296910467
2020-09-12,31,0.543604506664399,0.45612854144946,0.640466285679039,0.545525806329257,0.00222088362217303,134,245.634575752999
2020-09-13,32,0.558820510203694,0.469039303805719,0.658444122914325,0.560853963270288,0.0023474415531044,134,238.921374859613
2020-09-14,33,0.522605699138308,0.433620041584658,0.622462221977633,0.524200906240996,0.00232869991613459,118,225.104532623129
2020-09-15,34,0.547580412236988,0.452671414900634,0.655118614079295,0.549396269980151,0.00267111735812481,113,205.68031887818
2020-09-16,35,0.560270241265671,0.459045988572648,0.675118173652871,0.562291507006393,0.00304011287357231,104,184.95744414439
2020-09-17,36,0.576913827420493,0.468776967541425,0.699998351230709,0.579303121036895,0.00349575110461549,96,165.716352137323
2020-09-18,37,0.635109930288552,0.515782762890404,0.771895756446673,0.637155611189656,0.00427333971442594,95,149.100154391832
2020-09-19,38,0.700956263469484,0.569689556301591,0.851758470501764,0.703094335195988,0.00520359625457567,95,135.117003856273
2020-09-20,39,0.750807789450849,0.607294563138514,0.913117434466859,0.753243506386599,0.00610081483778042,93,123.46604944015
2020-09-21,40,0.759073275421906,0.610571175645576,0.929481701160231,0.762336936596383,0.00667997247010527,87,114.122766225168
2020-09-22,41,0.641294454318141,0.501472171921366,0.807011948146162,0.644698844409271,0.00602371884032826,69,107.026715804375
2020-09-23,42,0.53784678724871,0.408076588649913,0.694668599572717,0.541066853879858,0.00532278800668087,55,101.651024463259
2020-09-24,43,0.585651411170571,0.445786006396862,0.751572425851849,0.589066344947742,0.00608770453947531,57,96.7632941329497
2020-09-25,44,0.525008956227539,0.389932144850002,0.687562256143583,0.528463671609962,0.00581820525440587,48,90.8293276882557
2020-09-26,45,0.570894187373587,0.423937754799531,0.746703218534795,0.574848288301987,0.00688438655341094,48,83.5002921236567
2020-09-27,46,0.616688414994555,0.455656083098219,0.810765572035137,0.62094726006852,0.00820373403801282,47,75.6908082577152
2020-09-28,47,0.596677715591488,0.431860430396253,0.797388937140227,0.601048546468722,0.00881120378566253,41,68.2141238688339
2020-09-29,48,0.740089625460143,0.546253119308408,0.976500952504205,0.745418200519028,0.0120793107318484,46,61.7103257848689
2020-09-30,49,0.917538600118864,0.690214094467354,1.18978079141402,0.922583719514881,0.0163684753752676,52,56.3634485413887
2020-10-01,50,0.95383715208259,0.713311283857414,1.24251482308114,0.959894979768679,0.0184279674437023,50,52.0890316689116
2020-10-02,51,1.07042400166566,0.805886890940314,1.38613284577192,1.07687934452293,0.0218805494841536,53,49.2162843215081
2020-10-03,52,1.05765518564448,0.793551361364031,1.37587747856217,1.06429545799512,0.0222102906256676,51,47.9190243807596
2020-10-04,53,1.03898423753197,0.776153371802012,1.35298991747493,1.04617448410619,0.0218896210238969,50,47.7931748093801
2020-10-05,54,1.23438919634358,0.945716534240343,1.5762727251668,1.24174376375972,0.0256987929139359,60,48.3191474369346
2020-10-06,55,1.13589783547745,0.864140663336762,1.46257999812198,1.14357709292042,0.023353010133077,56,48.9691515741975
2020-10-07,56,1.03971388966823,0.780911781372418,1.34598826718165,1.04602103258942,0.0210415384734505,52,49.71219352184
2020-10-08,57,1.01629185768967,0.763236785694053,1.31812474362747,1.02247816380451,0.0201050306818663,52,50.8568318041282
2020-10-09,58,1.01168330255074,0.763243611234492,1.31068525131567,1.01872927520793,0.0195813082295411,53,52.0255982524721
2020-10-10,59,1.037710496735,0.786078203419845,1.33839124434849,1.04396783727403,0.019815797186593,55,52.6836153723029
2020-10-11,60,1.07325986402518,0.81905355878162,1.37780763973769,1.07940011763808,0.0204404318238087,57,52.8071093087578
2020-10-12,61,1.03671009285052,0.785888420797724,1.33473612329387,1.04283052745586,0.0197726456180704,55,52.7410720648738
2020-10-13,62,1.10957588179919,0.848942506381988,1.41767350187237,1.11629085480937,0.0211204283479838,59,52.8536086682133
2020-10-14,63,1.02663261230617,0.777910535290085,1.32508075256373,1.0331460676064,0.019407105400192,55,53.2354540412902
